t,y
0.0000000000,1.0000000000
0.0100000000,1.0006289052
0.0200000000,1.0018862400
0.0300000000,1.0037690702
0.0400000000,1.0062720293
0.0500000000,1.0093873561
0.0600000000,1.0131049396
0.0700000000,1.0174123746
0.0800000000,1.0222950258
0.0900000000,1.0277360996
0.1000000000,1.0337167257
0.1100000000,1.0402160454
0.1200000000,1.0472113075
0.1300000000,1.0546779725
0.1400000000,1.0625898218
0.1500000000,1.0709190745
0.1600000000,1.0796365090
0.1700000000,1.0887115908
0.1800000000,1.0981126038
0.1900000000,1.1078067874
0.2000000000,1.1177604752
0.2100000000,1.1279392392
0.2200000000,1.1383080343
0.2300000000,1.1488313463
0.2400000000,1.1594733404
0.2500000000,1.1701980112
0.2600000000,1.1809693324
0.2700000000,1.1917514060
0.2800000000,1.2025086117
0.2900000000,1.2132057530
0.3000000000,1.2238082033
0.3100000000,1.2342820479
0.3200000000,1.2445942232
0.3300000000,1.2547126531
0.3400000000,1.2646063802
0.3500000000,1.2742456930
0.3600000000,1.2836022478
0.3700000000,1.2926491856
0.3800000000,1.3013612421
0.3900000000,1.3097148524
0.4000000000,1.3176882487
0.4100000000,1.3252615506
0.4200000000,1.3324168487
0.4300000000,1.3391382804
0.4400000000,1.3454120976
0.4500000000,1.3512267271
0.4600000000,1.3565728217
0.4700000000,1.3614433042
0.4800000000,1.3658334019
0.4900000000,1.3697406731
0.5000000000,1.3731650248
0.5100000000,1.3761087218
0.5200000000,1.3785763875
0.5300000000,1.3805749954
0.5400000000,1.3821138532
0.5500000000,1.3832045777
0.5600000000,1.3838610617
0.5700000000,1.3840994334
0.5800000000,1.3839380071
0.5900000000,1.3833972274
0.6000000000,1.3824996049
0.6100000000,1.3812696460
0.6200000000,1.3797337755
0.6300000000,1.3779202525
0.6400000000,1.3758590815
0.6500000000,1.3735819161
0.6600000000,1.3711219597
0.6700000000,1.3685138594
0.6800000000,1.3657935970
0.6900000000,1.3629983754
0.7000000000,1.3601665023
0.7100000000,1.3573372700
0.7200000000,1.3545508339
0.7300000000,1.3518480883
0.7400000000,1.3492705411
0.7500000000,1.3468601879
0.7600000000,1.3446593851
0.7700000000,1.3427107236
0.7800000000,1.3410569031
0.7900000000,1.3397406076
0.8000000000,1.3388043824
0.8100000000,1.3382905131
0.8200000000,1.3382409079
0.8300000000,1.3386969828
0.8400000000,1.3396995494
0.8500000000,1.3412887087
0.8600000000,1.3435037476
0.8700000000,1.3463830412
0.8800000000,1.3499639604
0.8900000000,1.3542827850
0.9000000000,1.3593746230
0.9100000000,1.3652733363
0.9200000000,1.3720114731
0.9300000000,1.3796202074
0.9400000000,1.3881292861
0.9500000000,1.3975669829
0.9600000000,1.4079600614
0.9700000000,1.4193337444
0.9800000000,1.4317116934
0.9900000000,1.4451159945
1.0000000000,1.4595671544
1.0100000000,1.4750841042
1.0200000000,1.4916842115
1.0300000000,1.5093833025
1.0400000000,1.5281956912
1.0500000000,1.5481342186
1.0600000000,1.5692103002
1.0700000000,1.5914339818
1.0800000000,1.6148140045
1.0900000000,1.6393578777
1.1000000000,1.6650719605
1.1100000000,1.6919615521
