t,y
0.0000000000,1.0000000000
0.0010000000,1.0000062841
0.0020000000,1.0000188542
0.0030000000,1.0000377116
0.0040000000,1.0000628577
0.0050000000,1.0000942935
0.0060000000,1.0001320197
0.0070000000,1.0001760368
0.0080000000,1.0002263451
0.0090000000,1.0002829447
0.0100000000,1.0003458352
0.0110000000,1.0004150163
0.0120000000,1.0004904872
0.0130000000,1.0005722468
0.0140000000,1.0006602942
0.0150000000,1.0007546276
0.0160000000,1.0008552455
0.0170000000,1.0009621459
0.0180000000,1.0010753266
0.0190000000,1.0011947852
0.0200000000,1.0013205189
0.0210000000,1.0014525248
0.0220000000,1.0015907998
0.0230000000,1.0017353404
0.0240000000,1.0018861430
0.0250000000,1.0020432037
0.0260000000,1.0022065182
0.0270000000,1.0023760823
0.0280000000,1.0025518912
0.0290000000,1.0027339401
0.0300000000,1.0029222239
0.0310000000,1.0031167372
0.0320000000,1.0033174743
0.0330000000,1.0035244296
0.0340000000,1.0037375967
0.0350000000,1.0039569696
0.0360000000,1.0041825414
0.0370000000,1.0044143056
0.0380000000,1.0046522550
0.0390000000,1.0048963823
0.0400000000,1.0051466800
0.0410000000,1.0054031404
0.0420000000,1.0056657554
0.0430000000,1.0059345169
0.0440000000,1.0062094163
0.0450000000,1.0064904450
0.0460000000,1.0067775940
0.0470000000,1.0070708541
0.0480000000,1.0073702160
0.0490000000,1.0076756700
0.0500000000,1.0079872061
0.0510000000,1.0083048144
0.0520000000,1.0086284845
0.0530000000,1.0089582058
0.0540000000,1.0092939674
0.0550000000,1.0096357585
0.0560000000,1.0099835676
0.0570000000,1.0103373834
0.0580000000,1.0106971940
0.0590000000,1.0110629876
0.0600000000,1.0114347520
0.0610000000,1.0118124748
0.0620000000,1.0121961433
0.0630000000,1.0125857447
0.0640000000,1.0129812659
0.0650000000,1.0133826936
0.0660000000,1.0137900143
0.0670000000,1.0142032143
0.0680000000,1.0146222796
0.0690000000,1.0150471959
0.0700000000,1.0154779489
0.0710000000,1.0159145240
0.0720000000,1.0163569063
0.0730000000,1.0168050807
0.0740000000,1.0172590319
0.0750000000,1.0177187445
0.0760000000,1.0181842027
0.0770000000,1.0186553906
0.0780000000,1.0191322920
