t,y
0.0000000000,1.0000000000
0.0001000000,1.0000000628
0.0002000000,1.0000001885
0.0003000000,1.0000003770
0.0004000000,1.0000006283
0.0005000000,1.0000009425
0.0006000000,1.0000013196
0.0007000000,1.0000017594
0.0008000000,1.0000022621
0.0009000000,1.0000028277
0.0010000000,1.0000034561
0.0011000000,1.0000041474
0.0012000000,1.0000049015
0.0013000000,1.0000057185
0.0014000000,1.0000065983
0.0015000000,1.0000075410
0.0016000000,1.0000085466
0.0017000000,1.0000096150
0.0018000000,1.0000107462
0.0019000000,1.0000119404
0.0020000000,1.0000131974
0.0021000000,1.0000145172
0.0022000000,1.0000159000
0.0023000000,1.0000173456
0.0024000000,1.0000188541
0.0025000000,1.0000204254
0.0026000000,1.0000220597
0.0027000000,1.0000237568
0.0028000000,1.0000255168
0.0029000000,1.0000273396
0.0030000000,1.0000292254
0.0031000000,1.0000311740
0.0032000000,1.0000331855
0.0033000000,1.0000352599
0.0034000000,1.0000373972
0.0035000000,1.0000395973
0.0036000000,1.0000418604
0.0037000000,1.0000441863
0.0038000000,1.0000465752
0.0039000000,1.0000490269
0.0040000000,1.0000515415
0.0041000000,1.0000541190
0.0042000000,1.0000567594
0.0043000000,1.0000594627
0.0044000000,1.0000622289
0.0045000000,1.0000650579
0.0046000000,1.0000679499
0.0047000000,1.0000709048
0.0048000000,1.0000739226
0.0049000000,1.0000770032
0.0050000000,1.0000801468
0.0051000000,1.0000833533
0.0052000000,1.0000866227
0.0053000000,1.0000899550
0.0054000000,1.0000933501
0.0055000000,1.0000968082
0.0056000000,1.0001003292
0.0057000000,1.0001039131
0.0058000000,1.0001075599
0.0059000000,1.0001112696
0.0060000000,1.0001150423
0.0061000000,1.0001188778
0.0062000000,1.0001227762
0.0063000000,1.0001267376
0.0064000000,1.0001307618
0.0065000000,1.0001348490
0.0066000000,1.0001389990
0.0067000000,1.0001432120
0.0068000000,1.0001474879
0.0069000000,1.0001518267
0.0070000000,1.0001562284
0.0071000000,1.0001606931
0.0072000000,1.0001652206
0.0073000000,1.0001698110
0.0074000000,1.0001744644
0.0075000000,1.0001791807
0.0076000000,1.0001839599
0.0077000000,1.0001888019
0.0078000000,1.0001937070
0.0079000000,1.0001986749
0.0080000000,1.0002037057
0.0081000000,1.0002087995
0.0082000000,1.0002139561
0.0083000000,1.0002191757
0.0084000000,1.0002244582
0.0085000000,1.0002298036
0.0086000000,1.0002352119
0.0087000000,1.0002406831
0.0088000000,1.0002462172
0.0089000000,1.0002518143
0.0090000000,1.0002574742
0.0091000000,1.0002631971
0.0092000000,1.0002689829
0.0093000000,1.0002748316
0.0094000000,1.0002807432
0.0095000000,1.0002867177
0.0096000000,1.0002927551
0.0097000000,1.0002988554
0.0098000000,1.0003050187
0.0099000000,1.0003112448
0.0100000000,1.0003175339
0.0101000000,1.0003238858
0.0102000000,1.0003303007
0.0103000000,1.0003367785
0.0104000000,1.0003433191
0.0105000000,1.0003499227
0.0106000000,1.0003565892
0.0107000000,1.0003633186
0.0108000000,1.0003701109
0.0109000000,1.0003769661
0.0110000000,1.0003838842
0.0111000000,1.0003908652
0.0112000000,1.0003979092
0.0113000000,1.0004050160
0.0114000000,1.0004121857
0.0115000000,1.0004194183
0.0116000000,1.0004267138
0.0117000000,1.0004340722
0.0118000000,1.0004414935
0.0119000000,1.0004489777
