t,y
0.0000000000,1.0000000000
0.1000000000,1.0597785252
0.2000000000,1.1591232910
0.3000000000,1.2646610522
0.4000000000,1.3436741543
0.5000000000,1.3772660081
0.6000000000,1.3680690592
0.7000000000,1.3399987915
0.8000000000,1.3306530625
0.9000000000,1.3796574353
1.0000000000,1.5176231789
1.1000000000,1.7600341087
1.2000000000,2.1085846720
1.3000000000,2.5600411332
1.4000000000,3.1205877205
1.5000000000,3.8227199577
1.6000000000,4.7425577416
1.7000000000,6.0180512773
1.8000000000,7.8727942395
1.9000000000,10.6560944347
